episode,agent_type,mean_return,weather_severity,return_i0,return_i1,co2_i0,co2_i1
32,dqn,-2490.3026950000003,0.0,-2520.783514999999,-2459.8218750000015,1086.0149999999999,1049.374999999999
33,dqn,-1239.8963900000003,0.0,-1282.3642050000005,-1197.428575,540.2049999999999,499.0749999999999
34,dqn,-2169.300857500001,0.0,-2130.6865000000003,-2207.9152150000014,910.9999999999999,935.7150000000005
35,dqn,-2433.3883024999996,0.0,-2440.382735,-2426.3938699999994,1049.735,1043.3699999999997
36,dqn,-2465.1129925000005,0.0,-2471.4846700000003,-2458.741315,1060.1700000000005,1052.315
37,dqn,-2484.2466525,0.0,-2464.247945,-2504.2453599999994,1058.9450000000004,1078.86
38,dqn,-2265.4872800000003,0.0,-2282.3629299999993,-2248.611630000001,972.9300000000001,958.63
39,dqn,-2445.3463575000005,0.0,-2441.369205,-2449.3235100000015,1049.705,1049.5100000000002
40,dqn,-2274.329994999999,0.0,-2289.846439999998,-2258.81355,981.4400000000005,964.0500000000004
41,dqn,-1130.7941799999999,0.0,-1144.3301100000003,-1117.2582499999996,475.11,469.25000000000034
42,dqn,-804.1740500000001,0.0,-802.6220750000002,-805.726025,333.075,331.5249999999999
43,dqn,-848.5249525000002,0.0,-875.8437750000003,-821.2061299999999,359.2749999999997,335.13
44,dqn,-1125.012715,0.0,-1114.26878,-1135.75665,470.28,470.14999999999986
45,dqn,-1392.1450275,0.0,-1389.5810849999998,-1394.7089700000001,579.5849999999998,580.4700000000004
46,dqn,-2156.99932,0.0,-2113.790585,-2200.208055,901.5850000000002,945.055
47,dqn,-1445.9700575000002,0.0,-1433.5422950000002,-1458.39782,601.7950000000001,614.3200000000005
48,dqn,-2255.8535549999997,0.0,-2247.5361149999994,-2264.1709950000004,960.6149999999997,969.9949999999995
49,dqn,-569.4772799999998,0.0,-586.3607749999998,-552.5937849999999,243.77499999999995,224.78499999999997
50,dqn,-2207.3200625,0.0,-2176.716745000001,-2237.9233799999993,928.7449999999999,956.3799999999998
51,dqn,-510.7192550000001,0.0,-479.191945,-542.2465650000003,197.445,220.56500000000003
52,dqn,-1285.78046,0.0,-1330.7341350000002,-1240.826785,560.6350000000001,517.7849999999999
53,dqn,-2494.8325400000012,0.0,-2475.555035000001,-2514.110045000001,1060.0349999999996,1083.0449999999994
54,dqn,-2712.0300225000005,0.0,-2736.0185000000015,-2688.0415449999996,1179.5000000000007,1135.5449999999996
55,dqn,-376.59914499999996,0.0,-343.4094349999999,-409.788855,136.93500000000006,161.85499999999996
56,dqn,-2388.2376874999995,0.0,-2395.16856,-2381.306814999999,1023.5600000000001,1023.8149999999999
57,dqn,-2861.605760000001,0.0,-2862.382530000001,-2860.8289900000004,1234.5300000000009,1233.4900000000005
58,dqn,-2466.0193900000004,0.0,-2423.2342450000006,-2508.8045350000007,1028.745,1071.5349999999999
59,dqn,-1544.4582025000007,0.0,-1528.5843150000003,-1560.332090000001,637.3150000000002,641.0899999999999
60,dqn,-2086.8643925,0.0,-2134.71765,-2039.0111350000004,910.6500000000001,814.1350000000004
61,dqn,-312.2048050000001,0.0,-326.55186000000015,-297.85774999999995,128.85999999999999,120.24999999999996
62,dqn,-1164.8141699999999,0.0,-1155.8230850000002,-1173.8052549999995,473.58500000000004,488.2550000000001
63,dqn,-1534.2672925000002,0.0,-1560.5424950000001,-1507.9920900000004,646.995,615.59
64,dqn,-1927.9437099999996,0.0,-1815.7371999999998,-2040.1502199999995,729.1999999999996,861.72
65,dqn,-617.8411625,0.0,-636.72937,-598.952955,264.37000000000006,244.45500000000007
66,dqn,-1170.4030475000004,0.0,-1216.9427300000002,-1123.8633650000004,503.7300000000001,470.8650000000002
67,dqn,-2381.0143675,0.0,-2418.92519,-2343.1035449999995,1026.6900000000003,1003.045
68,dqn,-2986.9821199999997,0.0,-2996.501095,-2977.4631449999997,1296.0950000000012,1279.145000000001
69,dqn,-2269.0872375000004,0.0,-2198.8087450000007,-2339.36573,925.7449999999998,1001.7300000000001
70,dqn,-1656.9412550000006,0.0,-1671.6369550000009,-1642.2455550000006,696.4549999999997,693.5550000000001
71,dqn,-1336.8113050000002,0.0,-1336.6570050000005,-1336.9656049999999,545.5050000000001,543.1049999999998
72,dqn,-2310.8295774999997,0.0,-2267.0223,-2354.6368549999997,954.8000000000001,1006.3549999999996
73,dqn,-1551.0241025,0.0,-1539.7517249999999,-1562.29648,625.2249999999999,652.9799999999997
74,dqn,-2238.1192674999998,0.0,-2193.0353149999996,-2283.20322,923.315,972.7200000000005
75,dqn,-1497.2255074999998,0.0,-1496.2436099999995,-1498.207405,605.11,630.9050000000001
76,dqn,-2187.710467500001,0.0,-2177.0683300000005,-2198.352605000001,920.8300000000002,928.1049999999996
77,dqn,-2098.6777974999995,0.0,-2013.01049,-2184.3451049999994,830.9899999999998,930.1050000000005
78,dqn,-3084.1034349999973,0.0,-3087.9637749999974,-3080.243094999997,1335.774999999999,1333.0949999999998
79,dqn,-964.50966,0.0,-969.2826050000003,-959.7367149999998,401.10499999999996,392.7149999999999
80,dqn,-1862.4873750000002,0.0,-1854.584875,-1870.389875,773.875,784.3749999999998
81,dqn,-2281.265705,0.0,-2272.0883350000004,-2290.4430749999988,966.3350000000005,976.0749999999999
82,dqn,-359.88150250000007,0.0,-392.0652150000003,-327.6977899999998,157.715,131.29000000000002
83,dqn,-1113.0827124999996,0.0,-1149.8544499999998,-1076.3109749999994,476.9499999999998,447.4750000000001
84,dqn,-1198.3276875000001,0.0,-1244.1172250000004,-1152.5381499999999,513.7249999999998,481.15000000000003
85,dqn,-1462.4227725,0.0,-1495.9726349999999,-1428.87291,619.635,599.4100000000002
86,dqn,-643.7069950000001,0.0,-577.7869949999999,-709.6269950000003,238.49499999999995,289.49500000000006
87,dqn,-1419.8423174999994,0.0,-1412.2752049999992,-1427.4094299999997,568.7050000000002,598.4300000000001
88,dqn,-528.5290799999999,0.0,-485.79857999999984,-571.2595799999999,193.08,230.08000000000004
89,dqn,-325.8650675,0.0,-334.81071499999985,-316.91942000000023,134.215,126.91999999999996
90,dqn,-1310.3920625,0.0,-1316.7031950000003,-1304.0809299999996,534.195,542.43
91,dqn,-2221.216347500002,0.0,-2146.719085000002,-2295.713610000002,905.5849999999998,984.61
92,dqn,-2480.50889,0.0,-2475.3633950000003,-2485.6543850000003,1040.8949999999995,1066.8849999999998
93,dqn,-2068.7283225,0.0,-1990.8256649999994,-2146.6309800000004,817.1650000000004,908.4799999999997
94,dqn,-2344.2178624999997,0.0,-2302.436675,-2385.9990499999994,968.6749999999997,1019.0500000000002
95,dqn,-1717.4164649999998,0.0,-1752.8792799999999,-1681.9536499999995,729.7800000000001,696.15
96,dqn,-2834.581835,0.0,-2880.706550000001,-2788.4571199999996,1237.05,1190.1200000000003
97,dqn,-625.1932675000003,0.0,-570.6495550000002,-679.7369800000005,231.05499999999998,277.98
98,dqn,-2066.701915,0.0,-2023.58467,-2109.81916,854.1699999999998,892.6599999999999
99,dqn,-2087.437165,0.0,-1959.7043349999997,-2215.1699949999997,804.3349999999994,948.495
100,dqn,-2306.839380000001,0.0,-2332.9293800000005,-2280.749380000001,985.3799999999998,973.38
