episode,agent_type,mean_return,weather_severity,return_i0,return_i1,co2_i0,co2_i1
1,ppo,-601.3317475000001,0.2,-527.10513,-675.5583650000002,212.13,273.365
2,ppo,-706.2841825,0.2,-756.0469200000003,-656.5214449999999,305.92,270.9449999999998
3,ppo,-694.9167175,0.2,-717.7701,-672.0633349999999,291.0999999999999,272.83500000000004
4,ppo,-634.6099424999999,0.2,-627.3115100000001,-641.9083749999996,255.01000000000002,264.8749999999999
5,ppo,-757.9277824999997,0.2,-782.4077249999996,-733.4478399999999,320.22499999999997,303.84
6,ppo,-673.2269374999998,0.2,-743.2972049999997,-603.1566699999998,296.7049999999999,247.16999999999996
7,ppo,-781.2525675000002,0.2,-875.3778250000003,-687.1273100000001,349.3249999999999,281.80999999999995
8,ppo,-808.9580099999998,0.2,-823.4808049999996,-794.4352150000002,337.30499999999995,320.21500000000003
9,ppo,-850.8818475000002,0.2,-852.206045,-849.5576500000003,348.54499999999996,349.64999999999975
10,ppo,-637.0934424999999,0.2,-591.388935,-682.7979499999999,242.43499999999992,269.45
11,ppo,-2463.3282125000005,0.2,-2467.01973,-2459.6366950000006,1059.2300000000002,1051.6949999999995
12,ppo,-762.8611274999998,0.2,-685.9733249999999,-839.7489299999997,287.32500000000005,331.93000000000006
13,ppo,-2496.4302525000003,0.2,-2486.303910000002,-2506.556594999999,1069.4099999999999,1075.0950000000003
14,ppo,-684.2629475000001,0.2,-644.3809500000001,-724.1449450000002,253.44999999999996,291.4449999999999
15,ppo,-758.3701700000001,0.2,-702.8075450000002,-813.932795,289.54499999999996,334.2950000000001
16,ppo,-789.3031225,0.2,-778.2409050000001,-800.3653399999997,324.4049999999998,324.84000000000015
17,ppo,-2452.59098,0.2,-2466.5334900000007,-2438.648469999999,1062.4899999999998,1049.4699999999998
18,ppo,-2448.9721049999994,0.2,-2463.68502,-2434.259189999999,1054.5200000000004,1044.69
19,ppo,-2483.9853400000006,0.2,-2490.872900000001,-2477.09778,1069.8999999999999,1066.7800000000004
