episode,agent_type,mean_return,weather_severity,return_i0,return_i1,co2_i0,co2_i1
43,ppo,-1217.6160350000018,0.2,-1705.8063000000038,-729.4257699999998,632.2999999999996,295.77
44,ppo,-1170.002170000002,0.2,-1711.5144400000036,-628.4899000000003,634.4399999999996,257.90000000000003
45,ppo,-1191.9793100000015,0.2,-1694.8892500000031,-689.0693699999999,628.2499999999995,280.8700000000001
46,ppo,-1160.6547625000017,0.2,-1729.6566050000038,-591.6529199999998,641.1049999999992,245.41999999999993
47,ppo,-2567.346692500001,0.2,-2634.667850000001,-2500.0255350000007,1099.3500000000008,1076.035
48,ppo,-1280.738132500002,0.2,-1703.5252700000042,-857.9509949999997,631.2699999999995,348.995
49,ppo,-1273.9387350000018,0.2,-1707.616505000004,-840.2609649999996,633.0049999999993,350.46500000000003
50,ppo,-1243.420112500002,0.2,-1712.2528050000037,-774.5874200000004,634.8049999999994,319.41999999999996
51,ppo,-1225.3470350000018,0.2,-1691.3620300000039,-759.3320399999999,627.0299999999994,313.5399999999999
52,ppo,-2247.1691300000007,0.2,-1956.9282600000008,-2537.4100000000003,739.2599999999999,1090.5000000000005
53,ppo,-1242.3846725000017,0.2,-1716.6508950000036,-768.1184499999999,636.3949999999993,319.95000000000005
54,ppo,-1076.9326275000017,0.2,-1510.850720000003,-643.0145350000003,563.7199999999997,268.03500000000014
55,ppo,-1229.823212500002,0.2,-1692.3025400000038,-767.3438850000001,627.0399999999994,311.88500000000005
56,ppo,-1117.6646225000013,0.2,-1500.1036200000024,-735.225625,559.1199999999997,300.6250000000001
57,ppo,-1254.598175000002,0.2,-1706.0834850000035,-803.1128650000002,632.4849999999994,334.86499999999995
58,ppo,-1162.0017700000017,0.2,-1683.3088500000033,-640.69469,623.8499999999993,261.19000000000005
59,ppo,-1190.0609800000025,0.2,-1711.9200250000047,-668.201935,634.5249999999995,274.43499999999995
60,ppo,-1228.5894125000023,0.2,-1716.0771350000043,-741.1016900000003,636.1349999999994,304.6900000000001
61,ppo,-1241.1409825000019,0.2,-1723.1082600000036,-759.1737050000002,638.7599999999993,314.7050000000001
62,ppo,-1160.395232500002,0.2,-1694.1995650000042,-626.5908999999999,628.0649999999997,253.40000000000003
63,ppo,-1116.7427549999995,0.2,-1508.0826149999994,-725.4028949999996,572.6149999999994,301.39500000000004
64,ppo,-1146.7628600000014,0.2,-1487.827070000003,-805.6986499999998,555.5699999999998,330.6500000000001
65,ppo,-1157.5337800000016,0.2,-1536.626530000003,-778.44103,575.5299999999995,325.5300000000001
66,ppo,-1282.5411875000023,0.2,-1730.2378350000045,-834.8445399999998,641.3349999999995,347.0400000000002
67,ppo,-1184.0087275000014,0.2,-1550.934490000003,-817.0829650000001,584.9899999999997,335.465
68,ppo,-2235.6339149999994,0.2,-1997.2642999999996,-2474.003529999999,770.8000000000002,1060.0299999999995
69,ppo,-958.384640000001,0.2,-1317.7174600000017,-599.0518200000004,504.9599999999998,241.81999999999996
70,ppo,-1215.598207500002,0.2,-1700.738510000004,-730.4579050000001,630.5099999999995,301.4050000000001
71,ppo,-2122.5813050000006,0.2,-1876.6656850000008,-2368.496925000001,700.1849999999991,1015.4250000000002
72,ppo,-1102.8041825000014,0.2,-1595.284315000003,-610.3240499999997,591.8149999999995,250.54999999999993
73,ppo,-1253.1183400000018,0.2,-1714.9792150000035,-791.2574649999999,635.7149999999996,330.46500000000015
74,ppo,-1126.7640049999993,0.2,-1663.7198299999986,-589.8081800000001,647.3299999999997,242.18000000000006
75,ppo,-1210.399690000002,0.2,-1677.3229950000036,-743.4763850000004,621.9949999999997,306.3850000000001
