controller,mean_return_i0,std_return_i0,mean_delay_i0,mean_co2_i0,mean_return_i1,std_return_i1,mean_delay_i1,mean_co2_i1
dqn,-1060.3002742500003,721.445308197643,89029.85,445.14925000000005,-989.0715604999999,552.209084711679,81272.1,406.3605
ppo,-1046.9752885,727.8401965536661,87922.7,439.61350000000004,-1753.742615250003,101.6349485996693,130523.05,652.6152499999995
fixed_time,-1137.0974405,700.8452248148552,95158.1,475.79049999999995,-1151.22379675,680.775751236403,96569.35,482.84675
random,-1089.3135530000002,707.5322671354581,90960.6,454.803,-1113.5443785000002,691.227438075085,92965.7,464.8284999999999
