episode,return,avg_loss,epsilon,final_total_queue,cumulative_delay
1.0,-2314.870999999999,nan,0.97,1559.0,197369.0
2.0,-2107.3585,nan,0.9409,1545.0,180421.0
3.0,-2467.0130000000004,nan,0.912673,1589.0,212473.0
4.0,-672.843,nan,0.8852928099999999,417.0,55670.0
5.0,-1959.5420000000004,nan,0.8587340256999999,1512.0,166484.0
6.0,-598.5969999999999,nan,0.8329720049289999,364.0,48204.0
7.0,-1841.5215000000007,nan,0.8079828447811299,1484.0,157122.0
8.0,-1794.3064999999997,nan,0.783743359437696,1363.0,151584.0
9.0,-460.9689999999998,nan,0.7602310586545651,210.0,37448.0
10.0,-2349.2095000000004,3.69279146194458,0.7374241268949281,1569.0,201091.0
11.0,-2550.1890000000003,0.27971742902183905,0.7153014030880802,1577.0,219503.0
12.0,-1631.8065,0.006789286811836064,0.6938423609954378,1253.0,137402.0
13.0,-2370.920000000001,0.0068514905101619665,0.6730270901655747,1537.0,202165.0
14.0,-2220.3959999999997,0.006325694045517594,0.6528362774606075,1566.0,189892.0
15.0,-2411.494499999999,0.02893462191685103,0.6332511891367892,1590.0,206748.0
16.0,-406.547,0.10274055238580332,0.6142536534626856,182.0,32644.0
17.0,-2944.918,0.044705218099988994,0.595826043858805,1590.0,254473.0
18.0,-2083.9635,0.0403928578668274,0.5779512625430409,1582.0,178082.0
19.0,-570.1735,0.037363075050525364,0.5606127246667496,317.0,46851.0
20.0,-428.0260000000002,0.06328345644753426,0.5437943429267471,184.0,34277.0
21.0,-1704.8114999999993,0.14554726872127502,0.5274805126389447,1379.0,144678.0
22.0,-725.0635000000002,0.07885844855569303,0.5116560972597763,418.0,58839.0
23.0,-2328.9294999999993,0.07704669972416013,0.496306414341983,1571.0,199849.0
24.0,-558.3264999999999,0.08654032214079052,0.48141722191172354,346.0,46435.0
25.0,-3060.8085000000024,0.09418413367588073,0.4669747052543718,1589.0,265249.0
26.0,-1458.3049999999996,0.1839931781310588,0.4529654640967406,1179.0,122343.0
27.0,-1095.9930000000002,0.13179004021920263,0.4393765001738384,920.0,91466.0
28.0,-1619.089000000001,0.13272908782586457,0.42619520516862325,1277.0,136684.0
29.0,-2149.598000000001,0.11727676605805755,0.4134093490135645,1554.0,183504.0
30.0,-1613.9394999999995,0.14496600546874105,0.4010070685431576,1350.0,137694.0
31.0,-2188.180499999999,0.21144685960374773,0.38897685648686287,1545.0,185986.0
32.0,-2955.7024999999994,0.16053067918866873,0.377307550792257,1580.0,255711.0
33.0,-430.9784999999998,0.14088683946989478,0.36598832426848926,164.0,34712.0
34.0,-1939.3195000000003,0.1677557231299579,0.35500867454043455,1432.0,164305.0
35.0,-440.8589999999998,0.18602365305647253,0.3443584143042215,156.0,35454.0
36.0,-1201.3860000000006,0.25657743868418037,0.3340276618750948,953.0,100349.0
37.0,-1764.767000000001,0.22666185147129,0.32400683201884195,1372.0,149879.0
38.0,-1053.3140000000003,0.16910567072220148,0.3142866270582767,827.0,88694.0
39.0,-2876.968499999999,0.21523514186032117,0.3048580282465284,1585.0,247704.0
40.0,-336.3789999999999,0.24360977739095688,0.2957122873991326,132.0,26890.0
41.0,-2938.5340000000024,0.3249667995609343,0.2868409187771586,1588.0,254006.0
42.0,-626.5714999999999,0.26130664851516483,0.27823569121384384,383.0,51242.0
43.0,-2282.8115,0.2926713698543608,0.2698886204774285,1557.0,196096.0
44.0,-1782.138499999999,0.26217694794759155,0.26179196186310566,1485.0,152368.0
45.0,-2277.600500000001,0.3189945939742029,0.2539382030072125,1563.0,195113.0
46.0,-2248.1524999999983,0.39040560718625783,0.2463200569169961,1566.0,191794.0
47.0,-395.74399999999974,0.3301316766627133,0.23893045520948622,177.0,31027.0
48.0,-2449.2839999999987,0.314851353764534,0.23176254155320164,1580.0,209978.0
49.0,-1438.4409999999991,0.30254482103511693,0.2248096653066056,1141.0,121202.0
50.0,-953.4770000000001,0.2912546572647989,0.21806537534740741,705.0,79296.0
51.0,-769.6155000000007,0.3718859365954995,0.2115234140869852,485.0,63041.0
52.0,-213.01999999999992,0.370995305031538,0.20517771166437562,41.0,16752.0
53.0,-663.7349999999999,0.3196054499968886,0.19902238031444436,469.0,53895.0
54.0,-362.977,0.3229439350962639,0.19305170890501103,80.0,29466.0
55.0,-774.4285000000002,0.3682105903699994,0.1872601576378607,541.0,64486.0
56.0,-2238.2850000000003,0.4247432854399085,0.18164235290872485,1571.0,190902.0
57.0,-2022.7785000000006,0.41339663293212653,0.1761930823214631,1464.0,172019.0
58.0,-3091.4765000000025,0.4227646943181753,0.17090728985181922,1598.0,267884.0
59.0,-2469.193,0.3890219843015075,0.16578007115626464,1566.0,212397.0
60.0,-3149.2754999999993,0.4228679485619068,0.1608066690215767,1593.0,273010.0
61.0,-872.1344999999999,0.5257575869187713,0.1559824689509294,683.0,72968.0
62.0,-378.4919999999999,0.47118452299386265,0.1513029948824015,165.0,30344.0
63.0,-1122.5439999999996,0.4489083255827427,0.14676390503592945,878.0,94024.0
64.0,-2249.887,0.43043449640274045,0.14236098788485158,1557.0,193193.0
65.0,-2211.092000000001,0.5066509158164263,0.13809015824830603,1553.0,189318.0
66.0,-2508.394499999999,0.5302634394913912,0.13394745350085685,1575.0,215389.0
67.0,-2781.9364999999984,0.5516354189068079,0.12992902989583113,1525.0,238813.0
68.0,-1021.6734999999994,0.592233902439475,0.1260311589989562,794.0,84919.0
69.0,-1255.7285000000002,0.5717748639360071,0.12225022422898751,1057.0,105274.0
70.0,-2188.1530000000002,0.567386362850666,0.11858271750211788,1555.0,187079.0
71.0,-1598.9229999999995,0.6020225494354964,0.11502523597705434,1256.0,135478.0
72.0,-2187.7795,0.5271283062919975,0.1115744788977427,1534.0,186111.0
73.0,-2404.2264999999993,0.4960760988295078,0.10822724453081042,1547.0,206464.0
74.0,-2465.662,0.5506665877997875,0.10498042719488611,1574.0,212220.0
75.0,-2151.575999999999,0.5975434056669474,0.10183101437903952,1489.0,182308.0
76.0,-2410.1684999999998,0.5699017281830311,0.09877608394766833,1566.0,206095.0
77.0,-1181.896,0.63068743057549,0.09581280142923829,1028.0,99072.0
78.0,-503.1610000000001,0.612768623456359,0.09293841738636113,231.0,41222.0
79.0,-2187.0505,0.6161778465658426,0.09015026486477029,1496.0,185942.0
80.0,-442.4705000000001,0.6446307589858771,0.08744575691882718,215.0,35905.0
81.0,-1030.8915000000002,0.6721342603862286,0.08482238421126237,810.0,86430.0
82.0,-2426.2364999999995,0.6195196903496981,0.0822777126849245,1406.0,206602.0
83.0,-2159.467,0.5976671496778727,0.07980938130437676,1499.0,184390.0
84.0,-2227.7139999999995,0.581851174980402,0.07741509986524546,1586.0,191381.0
85.0,-2279.9764999999998,0.7202521737664938,0.0750926468692881,1542.0,195334.0
86.0,-1125.9000000000003,0.8285916218161583,0.07283986746320946,914.0,94645.0
87.0,-2308.2745000000004,0.6628808768838644,0.07065467143931317,1559.0,197399.0
88.0,-2881.6775,0.7773277397453785,0.06853503129613378,1582.0,248103.0
89.0,-1473.0950000000005,0.8187948905676603,0.06647898035724976,1262.0,124310.0
90.0,-2443.8879999999995,0.70072933845222,0.06448461094653227,1576.0,210362.0
91.0,-1915.1944999999996,0.8547883688658476,0.06255007261813629,1463.0,162590.0
92.0,-2168.5955000000004,0.7103412228822709,0.0606735704395922,1538.0,185413.0
93.0,-1150.7020000000002,0.7811380238085985,0.05885336332640443,962.0,95059.0
94.0,-2630.9990000000007,0.736760958135128,0.057087762426612294,1492.0,225099.0
95.0,-1458.5349999999992,0.6709256967157126,0.05537512955381393,1194.0,121890.0
96.0,-2180.8929999999996,0.9254020057618618,0.053713875667199505,1498.0,186353.0
97.0,-761.7180000000001,0.8406165051460266,0.05210245939718352,527.0,62419.0
98.0,-491.27949999999987,1.001534969508648,0.05053938561526801,171.0,39187.0
99.0,-1611.7109999999989,0.9748508176207542,0.05,1015.0,131784.0
100.0,-1833.8570000000007,0.8580249965190887,0.05,1380.0,153239.0
