episode,agent_type,mean_return,weather_severity,return_i0,return_i1,co2_i0,co2_i1
1,ppo,-638.0840874999998,0.2,-625.5109299999998,-650.6572449999998,253.93,261.24500000000006
2,ppo,-761.6948125000002,0.2,-754.7015299999999,-768.6880950000005,303.53,311.0950000000001
3,ppo,-676.9403250000003,0.2,-612.8056600000002,-741.0749900000002,249.66000000000003,299.98999999999995
4,ppo,-745.2921275000003,0.2,-713.6125750000004,-776.9716800000002,296.0750000000001,304.68000000000006
5,ppo,-712.3618999999999,0.2,-697.9195350000001,-726.8042649999995,284.03499999999997,292.76500000000004
6,ppo,-812.8270375,0.2,-732.5585100000005,-893.0955649999995,300.5100000000001,364.56500000000017
7,ppo,-994.9789949999998,0.2,-696.0786599999997,-1293.87933,282.6600000000001,485.8299999999999
8,ppo,-953.450795,0.2,-821.7482999999997,-1085.1532900000002,340.8000000000001,414.78999999999996
9,ppo,-2120.501435000001,0.2,-2336.6883050000006,-1904.3145650000013,1001.3050000000002,741.5649999999994
10,ppo,-960.4235025000003,0.2,-849.1885950000002,-1071.6584100000002,348.0949999999999,412.90999999999985
11,ppo,-1119.458577500001,0.2,-708.8534899999995,-1530.0636650000024,293.98999999999995,568.1649999999994
12,ppo,-2472.8908924999996,0.2,-2440.8256650000003,-2504.956119999999,1046.6649999999997,1055.6199999999997
13,ppo,-1078.0348425000013,0.2,-584.7286400000002,-1571.3410450000026,235.64000000000004,583.0449999999996
14,ppo,-1204.5435975000019,0.2,-773.3321849999996,-1635.755010000004,311.68499999999995,607.0099999999996
15,ppo,-2174.3141825000002,0.2,-2405.6713849999996,-1942.9569800000006,1032.885,735.4800000000006
16,ppo,-1278.2208500000017,0.2,-837.98788,-1718.4538200000034,341.3800000000001,636.8199999999995
17,ppo,-2193.245922500001,0.2,-2462.5851900000016,-1923.9066550000002,1053.6900000000003,722.1549999999996
18,ppo,-1238.0544925000017,0.2,-784.2201399999997,-1691.8888450000038,324.14000000000016,627.3449999999996
19,ppo,-1239.192225000002,0.2,-778.5112949999998,-1699.873155000004,319.7949999999998,630.1549999999993
20,ppo,-1219.595222500002,0.2,-732.4728149999997,-1706.7176300000042,302.815,632.6299999999994
21,ppo,-1287.2938100000017,0.2,-855.1282300000001,-1719.4593900000032,355.22999999999996,637.3899999999993
22,ppo,-1218.630737500002,0.2,-712.6777149999999,-1724.5837600000038,287.215,639.2599999999992
23,ppo,-1116.0434700000021,0.2,-553.9404850000002,-1678.146455000004,225.98499999999993,621.9549999999996
24,ppo,-1194.6084175000017,0.2,-705.8253149999998,-1683.3915200000035,290.315,624.0199999999995
25,ppo,-2222.2218350000016,0.2,-2506.2633150000024,-1938.180355000001,1076.315,729.8549999999997
26,ppo,-1223.6829500000022,0.2,-747.5933000000001,-1699.772600000004,308.8,630.0999999999996
27,ppo,-1267.409372500002,0.2,-809.9794349999997,-1724.8393100000042,335.435,639.3099999999993
28,ppo,-1134.4943650000018,0.2,-563.7512399999997,-1705.237490000004,230.24000000000007,631.9899999999996
29,ppo,-1218.4671025000018,0.2,-729.6584100000001,-1707.2757950000034,297.9100000000001,632.7949999999994
30,ppo,-1215.444145000002,0.2,-747.78251,-1683.105780000004,307.50999999999976,623.7799999999996
31,ppo,-1249.5298850000024,0.2,-793.2136800000002,-1705.8460900000046,327.18000000000006,632.5899999999993
32,ppo,-1167.8972475000014,0.2,-626.0283099999997,-1709.7661850000034,254.81,633.6849999999995
33,ppo,-1238.3357475000016,0.2,-780.5151699999997,-1696.1563250000036,325.66999999999996,628.8249999999994
34,ppo,-1212.623947500002,0.2,-711.5197599999997,-1713.7281350000044,285.26000000000005,635.1349999999995
35,ppo,-2189.3432175,0.2,-2449.5582599999993,-1929.1281750000005,1049.2600000000007,725.6749999999997
36,ppo,-1208.4402550000018,0.2,-665.0210549999999,-1751.8594550000034,265.55499999999995,649.4549999999995
37,ppo,-1189.9646075000019,0.2,-695.7642099999998,-1684.1650050000037,284.7099999999999,624.5049999999994
38,ppo,-1220.1996500000018,0.2,-733.78377,-1706.6155300000037,304.27,632.5299999999995
39,ppo,-1156.5583100000017,0.2,-603.6909399999997,-1709.425680000004,248.9399999999999,633.6799999999996
40,ppo,-1221.8218525000023,0.2,-723.1699349999998,-1720.4737700000046,297.93500000000006,638.2699999999993
41,ppo,-1138.8712025000018,0.2,-559.6376500000001,-1718.1047550000035,230.64999999999995,636.7549999999993
42,ppo,-1260.920837500002,0.2,-793.0263700000003,-1728.815305000004,330.3699999999999,640.8049999999996
43,ppo,-1182.001202500002,0.2,-677.7785950000001,-1686.2238100000036,280.5950000000001,625.3099999999997
44,ppo,-1186.3679650000022,0.2,-658.4185349999998,-1714.3173950000044,271.5350000000001,635.3949999999994
45,ppo,-1138.742807500002,0.2,-565.6440849999998,-1711.8415300000042,228.58500000000004,634.5299999999995
46,ppo,-1091.2568225000027,0.2,-472.8266850000002,-1709.686960000005,190.68499999999992,633.9599999999996
47,ppo,-1300.541795000002,0.2,-883.51303,-1717.570560000004,365.53000000000003,636.5599999999995
48,ppo,-1147.6415825000017,0.2,-570.68543,-1724.5977350000037,232.43,639.2349999999994
49,ppo,-1196.6411025000016,0.2,-671.4088750000002,-1721.873330000003,276.37500000000006,638.3299999999995
50,ppo,-1164.771355000002,0.2,-630.0596400000001,-1699.4830700000039,255.14000000000001,630.0699999999994
51,ppo,-2248.034667499999,0.2,-2510.7441649999982,-1985.3251700000005,1080.6650000000004,754.1699999999998
52,ppo,-1152.4833725000017,0.2,-613.9706399999998,-1690.9961050000036,252.63999999999982,626.6049999999998
53,ppo,-1204.540982500002,0.2,-680.4201249999995,-1728.6618400000043,277.125,640.8399999999996
54,ppo,-1184.640192500002,0.2,-689.7733100000002,-1679.507075000004,283.8099999999999,622.5749999999997
55,ppo,-1181.569365000002,0.2,-671.9727450000003,-1691.1659850000037,274.74499999999995,626.9849999999993
56,ppo,-1183.6694725000016,0.2,-651.0833149999995,-1716.2556300000035,265.8150000000001,636.1299999999997
57,ppo,-1148.7975125000019,0.2,-612.5344250000002,-1685.0606000000037,249.92500000000015,624.5999999999992
58,ppo,-1221.462040000002,0.2,-706.2133899999999,-1736.710690000004,289.89,643.6899999999996
59,ppo,-1185.2848225000016,0.2,-658.4131500000001,-1712.1564950000031,270.65000000000015,634.4949999999994
60,ppo,-2244.071872500001,0.2,-2561.5951350000023,-1926.54861,1099.6349999999995,719.1099999999998
61,ppo,-2147.6965874999996,0.2,-2397.722119999999,-1897.6710550000003,1024.6199999999994,708.5549999999992
62,ppo,-1146.5722225000018,0.2,-587.22357,-1705.9208750000037,240.07000000000008,632.3749999999995
63,ppo,-1183.007475000002,0.2,-670.552915,-1695.4620350000039,276.4150000000001,628.5349999999995
64,ppo,-1213.9398250000024,0.2,-703.9227450000004,-1723.9569050000043,290.745,638.9049999999996
65,ppo,-1188.5509950000019,0.2,-670.7399950000001,-1706.3619950000034,272.995,632.4949999999993
66,ppo,-1202.945530000002,0.2,-697.0196400000001,-1708.8714200000038,286.13999999999993,633.4199999999995
67,ppo,-1177.6726375000017,0.2,-651.7344049999999,-1703.6108700000036,265.4049999999999,631.3699999999993
