episode,agent_type,mean_return,weather_severity,return_i0,return_i1,co2_i0,co2_i1
1,dqn,-2950.2778474999986,0.0,-2938.2563699999987,-2962.299324999999,1269.3699999999994,1280.8249999999996
2,dqn,-613.8278174999998,0.0,-614.6894550000001,-612.9661799999996,251.955,246.68000000000015
3,dqn,-2429.470090000001,0.0,-2468.1649900000016,-2390.7751900000007,1063.9899999999986,1031.1899999999996
4,dqn,-2449.1153050000007,0.0,-2512.8140300000005,-2385.416580000001,1080.0300000000002,1016.08
5,dqn,-2731.114135000001,0.0,-2735.345535000001,-2726.8827350000015,1176.5350000000005,1173.2350000000004
6,dqn,-2717.15877,0.0,-2719.82511,-2714.4924300000002,1170.6100000000004,1169.4300000000005
7,dqn,-456.07394750000014,0.0,-500.09156000000013,-412.0563350000002,198.06000000000006,160.83499999999995
8,dqn,-1025.2649924999996,0.0,-1083.9120549999993,-966.61793,448.5550000000002,392.4300000000001
9,dqn,-2487.9219075,0.0,-2489.0479649999997,-2486.7958500000004,1066.4650000000001,1072.3500000000006
10,dqn,-1961.6534124999998,0.0,-1915.30097,-2008.0058549999997,805.9699999999997,854.8549999999999
11,dqn,-1571.5258250000002,0.0,-1604.0569050000001,-1538.9947450000002,667.4049999999999,640.2450000000001
12,dqn,-1862.2629975,0.0,-1824.2951400000002,-1900.2308549999998,773.1400000000002,800.8549999999998
13,dqn,-1294.7026999999998,0.0,-1296.4661049999995,-1292.939295,548.1050000000002,530.2949999999997
14,dqn,-2555.919327500001,0.0,-2549.761980000002,-2562.0766750000003,1095.480000000001,1102.1750000000009
15,dqn,-2483.6422525000007,0.0,-2469.7225550000007,-2497.5619500000007,1061.555,1073.4500000000005
16,dqn,-2459.557992500001,0.0,-2467.3154550000013,-2451.800530000001,1056.455,1056.530000000001
17,dqn,-497.3134574999999,0.0,-506.2516599999999,-488.3752549999999,204.66,196.25499999999997
18,dqn,-2477.8873975000006,0.0,-2477.286115,-2478.4886800000013,1061.6150000000007,1063.180000000001
19,dqn,-642.6296025000001,0.0,-670.9084150000003,-614.3507899999998,271.9149999999998,249.78999999999996
20,dqn,-2517.7345950000013,0.0,-2539.65769,-2495.8115000000025,1089.690000000001,1074.5000000000005
21,dqn,-1096.1003275000003,0.0,-1116.7397400000002,-1075.4609150000003,467.23999999999995,446.4150000000001
22,dqn,-2087.6180375000004,0.0,-2049.9238699999996,-2125.3122050000006,874.87,899.205
23,dqn,-1512.1376375,0.0,-1484.8639,-1539.4113749999997,624.4,633.3749999999999
24,dqn,-1647.3535625,0.0,-1691.0498200000002,-1603.6573049999997,719.3200000000002,676.8049999999996
25,dqn,-2604.3907575000003,0.0,-2573.5374150000007,-2635.2441000000003,1104.9150000000004,1131.1
