seed,agent_type,n_intersections,last10_i0,last10_i1
42,dqn,2,-2043.5798590000002,-2106.9884310000007
123,dqn,2,-1548.38204,-1505.2279530000003
999,dqn,2,-1987.2352750000002,-1969.1706164999996
42,ppo,2,-713.8638109999999,-1715.6800770000038
123,ppo,2,-1715.0311580000023,-826.6464085000001
999,ppo,2,-1019.5153,-1024.9837315000004
