episode,agent_type,mean_return,weather_severity,return_i0,return_i1,co2_i0,co2_i1
1,dqn,-2989.474497499998,0.0,-2980.8376449999973,-2998.1113499999988,1291.1449999999995,1297.3499999999997
2,dqn,-1453.8638700000001,0.0,-1438.13339,-1469.5943500000003,605.8899999999999,620.35
3,dqn,-2162.496359999999,0.0,-2186.8493549999994,-2138.143364999999,935.355,908.8650000000001
4,dqn,-2743.9133275000013,0.0,-2740.726540000002,-2747.100115,1175.5399999999997,1182.1150000000007
5,dqn,-2107.5817225,0.0,-2117.8878299999997,-2097.275615,902.3300000000005,893.1149999999993
6,dqn,-1234.0891475000003,0.0,-1228.749865,-1239.4284300000004,510.36499999999967,514.4299999999998
7,dqn,-1421.020705,0.0,-1434.86888,-1407.1725299999996,598.3799999999998,592.0299999999999
8,dqn,-1748.7503649999999,0.0,-1822.14528,-1675.35545,770.28,706.4500000000003
9,dqn,-870.7659600000001,0.0,-850.8382500000004,-890.6936699999998,353.2499999999999,370.6699999999999
10,dqn,-1594.8626874999995,0.0,-1565.8854099999992,-1623.8399649999997,662.9100000000002,685.9650000000004
11,dqn,-2581.915345000002,0.0,-2625.234620000002,-2538.596070000002,1131.620000000001,1091.07
12,dqn,-1357.3026474999997,0.0,-1385.3975599999999,-1329.2077349999997,578.0599999999997,559.7349999999999
13,dqn,-2077.0268325000006,0.0,-2154.257325000001,-1999.79634,923.8250000000003,850.8399999999999
14,dqn,-1771.9547049999999,0.0,-1775.85769,-1768.0517199999997,743.69,740.72
15,dqn,-1510.3409499999998,0.0,-1414.85336,-1605.8285399999993,596.8599999999999,684.5399999999997
16,dqn,-2301.134005,0.0,-2305.8479,-2296.42011,987.3999999999999,979.6100000000002
17,dqn,-1535.4339400000003,0.0,-1525.2808950000003,-1545.5869850000004,644.895,656.9849999999998
18,dqn,-1066.9454,0.0,-1020.0862049999997,-1113.8045950000005,425.205,462.59499999999986
19,dqn,-2431.370745000001,0.0,-2428.8000800000004,-2433.9414100000013,1043.0799999999997,1043.4099999999996
20,dqn,-591.8276074999999,0.0,-634.22109,-549.4341249999998,258.5899999999999,221.62499999999994
21,dqn,-2313.8966549999996,0.0,-2310.987784999999,-2316.805525,991.7850000000007,994.0249999999993
22,dqn,-1665.5369449999994,0.0,-1661.7347049999987,-1669.3391850000003,699.7049999999998,704.6850000000001
23,dqn,-2139.89702,0.0,-2147.531685,-2132.262355,910.1850000000001,914.3550000000004
24,dqn,-1827.6794550000002,0.0,-1815.5554950000005,-1839.8034149999999,773.995,779.415
25,dqn,-1898.818585,0.0,-1838.0977849999995,-1959.5393850000003,778.785,836.385
26,dqn,-2254.256585,0.0,-2229.457315,-2279.055855,951.8150000000003,976.8549999999993
27,dqn,-1598.2781375,0.0,-1540.20967,-1656.3466050000002,649.1700000000001,702.1049999999996
28,dqn,-2538.723830000001,0.0,-2540.334760000001,-2537.1129,1091.2600000000007,1089.9
29,dqn,-2243.0358349999997,0.0,-2263.5927449999995,-2222.4789249999994,971.2450000000006,952.9250000000001
30,dqn,-2696.9273425000024,0.0,-2675.9942100000026,-2717.860475000002,1152.7100000000003,1167.4750000000006
31,dqn,-578.2714225000002,0.0,-612.1074850000002,-544.4353600000002,244.48499999999996,220.86000000000004
32,dqn,-701.8217199999999,0.0,-622.008105,-781.6353349999997,253.60499999999996,323.83500000000015
33,dqn,-920.2405249999998,0.0,-962.2806749999999,-878.2003749999998,398.67499999999995,351.3749999999999
34,dqn,-278.68402249999997,0.0,-307.88842999999986,-249.47961500000002,122.92999999999998,97.11500000000007
35,dqn,-2865.103185,0.0,-2879.7321649999994,-2850.4742050000004,1244.1650000000013,1231.7050000000008
36,dqn,-2881.8057499999995,0.0,-2878.473885,-2885.1376149999996,1239.385000000001,1244.115000000001
37,dqn,-3062.8658549999977,0.0,-3065.7686499999977,-3059.9630599999978,1324.1499999999999,1316.559999999999
38,dqn,-2018.411055,0.0,-1963.3430699999992,-2073.4790400000006,837.0700000000002,885.04
39,dqn,-757.7400324999996,0.0,-690.66302,-824.8170449999993,281.01999999999987,340.5450000000001
40,dqn,-284.087845,0.0,-343.94105499999995,-224.23463500000008,135.5549999999999,89.13499999999996
41,dqn,-420.7981725000002,0.0,-439.30922000000015,-402.2871250000002,176.22000000000003,160.62500000000006
42,dqn,-1209.6356,0.0,-1301.6209050000002,-1117.6502949999997,549.405,466.2950000000001
43,dqn,-2495.9738025000015,0.0,-2477.6340900000014,-2514.3135150000016,1064.5900000000004,1080.0150000000006
44,dqn,-2144.2630025,0.0,-2113.8939250000003,-2174.6320799999994,902.9249999999997,931.5800000000004
45,dqn,-617.7621799999997,0.0,-616.2806799999995,-619.2436799999998,256.68,255.17999999999992
46,dqn,-2927.4367599999996,0.0,-2929.1508000000003,-2925.7227199999993,1266.8000000000009,1266.220000000001
47,dqn,-3015.0317849999988,0.0,-3027.169309999999,-3002.8942599999987,1308.8099999999995,1296.7600000000002
48,dqn,-1849.7330350000002,0.0,-1827.2734000000003,-1872.1926700000001,769.8999999999995,788.1700000000001
49,dqn,-2611.9613550000004,0.0,-2605.157505,-2618.765205,1117.5050000000003,1122.7050000000006
50,dqn,-3079.563452499998,0.0,-3077.346714999998,-3081.7801899999986,1331.7149999999997,1333.6899999999998
51,dqn,-518.5282425000003,0.0,-515.1644050000001,-521.8920800000003,210.4050000000001,213.07999999999998
52,dqn,-1200.6018574999996,0.0,-1143.447849999999,-1257.755865,482.8500000000002,525.3650000000001
53,dqn,-2564.0921575000007,0.0,-2600.4054949999995,-2527.778820000002,1117.4950000000006,1084.8199999999997
54,dqn,-2449.0189225000004,0.0,-2449.145775,-2448.8920700000012,1054.275,1049.5700000000006
55,dqn,-810.329745,0.0,-812.0901599999999,-808.5693300000001,331.16,331.3299999999999
56,dqn,-1313.1551999999997,0.0,-1348.8921549999995,-1277.4182449999998,561.6550000000002,532.2450000000001
57,dqn,-2458.3844125,0.0,-2488.4169500000007,-2428.3518749999994,1066.4499999999991,1043.3749999999998
58,dqn,-2330.8381499999987,0.0,-2252.1646449999985,-2409.5116549999993,917.1450000000001,1029.1550000000002
59,dqn,-1066.5794899999996,0.0,-1109.6239349999996,-1023.5350449999999,464.4350000000002,428.04500000000013
60,dqn,-2305.8023025000007,0.0,-2346.0819750000005,-2265.522630000001,1007.4750000000004,968.1300000000001
