episode,return,avg_loss,epsilon,final_total_queue,cumulative_delay
1.0,-2954.6749999999997,nan,0.97,1583.0,254941.0
2.0,-546.6845000000002,nan,0.9409,277.0,44086.0
3.0,-1108.0954999999997,nan,0.912673,790.0,91803.0
4.0,-3006.512000000001,nan,0.8852928099999999,1595.0,259701.0
5.0,-2449.6494999999995,nan,0.8587340256999999,1573.0,210445.0
6.0,-1793.8674999999998,nan,0.8329720049289999,1404.0,151099.0
7.0,-1980.4005000000002,nan,0.8079828447811299,1457.0,165605.0
8.0,-2373.2255000000005,nan,0.783743359437696,1565.0,203175.0
9.0,-1530.6459999999995,nan,0.7602310586545651,1127.0,127390.0
10.0,-2485.8979999999992,4.307834625244141,0.7374241268949281,1565.0,212838.0
11.0,-520.5105000000002,0.3654982612200547,0.7153014030880802,265.0,41585.0
12.0,-1849.7324999999996,0.004820723140146583,0.6938423609954378,1489.0,157149.0
13.0,-2473.119999999999,0.00425089132040739,0.6730270901655747,1552.0,213316.0
14.0,-819.3585000000002,0.003980163272935897,0.6528362774606075,623.0,67608.0
15.0,-2178.4405000000006,0.022594915158697403,0.6332511891367892,1543.0,186507.0
16.0,-2216.2659999999996,0.09433049333514645,0.6142536534626856,1527.0,189141.0
17.0,-1455.3464999999994,0.04362970268120989,0.595826043858805,1174.0,122191.0
18.0,-2307.1315,0.04473568551940844,0.5779512625430409,1554.0,197530.0
19.0,-2240.7465000000016,0.04109238059492782,0.5606127246667496,1573.0,192601.0
20.0,-621.4784999999996,0.05701929692644626,0.5437943429267471,411.0,48920.0
21.0,-2506.443000000001,0.12977137804497033,0.5274805126389447,1581.0,214808.0
22.0,-2998.1839999999984,0.0877963788760826,0.5116560972597763,1579.0,259221.0
23.0,-1878.8075000000003,0.07118186168838292,0.496306414341983,1460.0,159871.0
24.0,-1399.2099999999998,0.07423080696258694,0.48141722191172354,1044.0,115423.0
25.0,-428.55649999999997,0.10127233678940684,0.4669747052543718,219.0,34345.0
26.0,-2732.036500000001,0.17833751740865408,0.4529654640967406,1552.0,233364.0
27.0,-2258.2995000000014,0.12933736335486173,0.4393765001738384,1524.0,193391.0
28.0,-2097.5430000000006,0.11804518482182175,0.42619520516862325,1510.0,176850.0
29.0,-2489.475499999999,0.14119894635863603,0.4134093490135645,1578.0,214525.0
30.0,-814.4804999999996,0.1736321670608595,0.4010070685431576,570.0,66922.0
31.0,-2549.7624999999985,0.2354696320462972,0.38897685648686287,1583.0,219419.0
32.0,-2482.896500000001,0.20220554759725928,0.377307550792257,1569.0,213365.0
33.0,-798.03,0.18157277300953864,0.36598832426848926,553.0,64785.0
34.0,-2831.4249999999997,0.2165534874610603,0.35500867454043455,1571.0,243923.0
35.0,-339.44250000000005,0.1889100757148117,0.3443584143042215,92.0,26840.0
36.0,-603.0395000000001,0.2604796238616109,0.3340276618750948,369.0,49322.0
37.0,-1932.4769999999999,0.25633249822072685,0.32400683201884195,1455.0,163670.0
38.0,-1003.4664999999998,0.21489262008108198,0.3142866270582767,737.0,84427.0
39.0,-2488.2595,0.22938336723484098,0.3048580282465284,1579.0,214451.0
40.0,-3082.5165000000015,0.2294306475110352,0.2957122873991326,1584.0,266451.0
